-0.9669,5.7019,8.0176
-0.9725,5.6053,8.188
-0.9593,5.5483,8.2247
-0.8189,5.5694,8.0795
-0.8755,5.2167,8.6728
-1.3089,5.1405,8.3763
-1.3504,5.417,8.6118
-1.1082,5.3807,8.3193
-1.4557,5.822,8.1221
0.292,5.4333,7.6784
0.0774,5.6017,8.2367
0.1137,5.2215,8.4921
0.1077,5.3444,8.5052
-0.1932,5.6069,7.9258
-0.3309,5.583,8.2103
-0.8209,5.5535,8.2885
-1.257,3.9326,8.6469
-3.4645,5.267,7.1198
4.0122,5.3041,5.9362
1.3184,5.0962,7.1796
-1.8624,2.6561,10.4681
0.2486,-0.9707,9.9178
-1.1086,-0.0482,9.9481
0.486,4.0016,7.8348
-2.1125,2.5635,10.4258
0.065,4.8388,8.4717
-0.3955,4.6389,8.7845
-0.4574,3.9601,8.9869
-1.1213,3.9893,8.9916
-1.1193,4.093,8.9118
-1.2207,4.0631,8.909
-1.1852,3.7838,9.0683
-0.8803,3.4737,9.0854
0.5207,4.3224,8.66
-8.0557,-0.3949,9.4374
-2.6576,2.4043,9.2039
-1.5176,-0.794,8.941
-0.0507,0.295,9.7953
0.211,0.0145,9.7713
-0.038,0.2998,9.7769
-0.0352,0.301,9.7821
-0.844,0.3253,11.571
-1.8775,7.8998,5.3241
0.4943,8.8966,3.9391
0.0179,8.5977,4.9985
0.8607,6.8396,6.771
-0.3121,0.7359,11.2921
-0.0443,0.2918,9.7761
-0.0471,0.3022,9.7817
-0.0316,0.3026,9.7881
-0.0264,0.2986,9.7769
-0.038,0.299,9.7961
-0.0384,0.3006,9.7825
-0.0368,0.3014,9.7925
-0.0699,0.3034,9.7977
-0.0268,0.293,9.7929
-0.0268,0.3034,9.7793
-0.0455,0.2998,9.7861
-0.0551,0.2874,9.7937
-0.0324,0.2958,9.7885
-0.036,0.2954,9.7917
-0.0443,0.2978,9.7865
-0.0388,0.2962,9.7897
-0.0591,0.2922,9.7913
-0.0352,0.2978,9.7785
-0.0332,0.2986,9.7865
-0.0535,0.303,9.7869
-0.03,0.2974,9.7957
-0.0563,0.2978,9.7893
-0.0439,0.2986,9.7949
-0.0348,0.2914,9.7913
-0.0447,0.2894,9.7881
-0.042,0.295,9.7853
-0.0404,0.2862,9.7861
